LocationName,Status,Resolution,Coordinates,LatitudeDecimal,LongitudeDecimal,Nation,ProvinceState,DistrictCounty,CityTown,Biome,ContinentOcean,ParkReserveName,Altitude,Rainfall,Temperature,Notes,Accuracy,Extent_km2,TimeAdded
"Manéra forest",NULL,O,NULL,7.24966,34.9682,Ethiopia,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"Was an experimental station beside Manera village in Ethiopia in the 1960s. The closest village aside from Manera was Boga.

https://apps.who.int/iris/bitstream/handle/10665/76371/MHO_PA_30.64_eng.pdf?sequence=1&isAllowed=y has a map of the forest
1.5 KM SOUTH OF GODERE",2,2,"2020-01-14 18:57:48"
Manu,NULL,SL,NULL,-12.2667,-70.85,Peru,"Madre de Dios ",,,Rainforest,NULL,"Manu National Park",NULL,NULL,NULL,,1,3,"2020-01-14 21:14:37"
"Manzano Forest",NULL,SL,"(2º38'S, 16º23E)",-2.63333,16.3833,"Democratic Republic of Congo",,,,NULL,Africa,,NULL,NULL,NULL,"Liu et. al lists the forest as "Manzana" but it is the exact same location as this from Narat et al. 2015. ",1,2,"2020-01-15 20:36:12"
Mapai,NULL,P,NULL,-24.1328,32.6075,Mozambique,[Null],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Mapai, Mozambique",2,2,"2020-01-13 20:56:49"
"Marajó Island",NULL,P,NULL,-1,-49.5,Brazil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Ilha de Marajó",2,2,"2020-01-14 19:18:01"
Maranhao,NULL,P,"05° 00' 00" S; 045° 00' 00" W",-5,-45,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Maranhao",2,2,"2011-07-24 20:03:43"
Mariarano,NULL,SL,,-15.4,46.7333,Madagascar,,,,NULL,NULL,,NULL,NULL,NULL,,,2,"2020-04-30 16:23:08"
Maroantsetra,NULL,SL,"15° 26' 00" S; 049° 44' 00" E",-15.43,49.73,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Maroantsetra PPL",2,2,"2011-07-24 20:03:54"
Marojejy,NULL,SL,"14° 27' 24.26" S; 49° 44' 15.81" E",14.45,49.73,Madagascar,,,,Rainforest,NULL,"Marojejy National Park",NULL,NULL,NULL,,1,3,"2020-01-14 19:19:11"
"Marovato (Boriziny District)",NULL,SL,NULL,-15.7828,48.0858,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Chaubad et al. 1965: about 80 km west of Mandritsara (NW 4 degrees). I was able to find it on Google Maps this way",1,2,"2020-01-14 19:41:55"
"Masai Mara",NULL,SL,"01° 25'00" S; 034° 55' 00" E",-1.41,34.91,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Masai Mara game reserve",2,2,"2011-07-24 20:04:10"
Masoala,NULL,SL,NULL,-15.662,49.961,Madagascar,,,"Ambaniana Village and Tampolo Point",Rainforest,Africa,,700,350,23.9,,1,1,"2020-01-14 21:15:55"
"Masoala National Park",NULL,SL,NULL,-15.64,50.1,Madagascar,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,NULL,1,3,"2020-01-14 19:42:53"
Massangena,NULL,SL,"21° 32' 16" S; 032° 57' 23" E",-21.53,32.95,Mozambique,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Massangena PPL ",2,2,"2011-07-24 20:04:23"
"Mata Santa Teresa",NULL,SL,NULL,-21.233,-47.916,Brazil,"São Paulo",,"Ribeirão Preto",NULL,NULL,"Mata Santa Teresa",NULL,NULL,NULL,,1,2,"2020-01-14 21:15:18"
"Matias Barbosa ",NULL,SL,"21° 52' 11" S, 43° 19' 7" W",-21.868,-43.3177,Brazil,"Minas Gerais",,"Matias Barbosa ",NULL,SouthAmerica,,NULL,NULL,NULL,,1,2,"2020-01-14 19:45:53"
"Mato Grosso",NULL,P,"21° 00' 00" S; 055° 00' 00" W",-21,-55,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Mato Grosso "Estado" ADM1;Acmemapper2.0 Mato Grosso,Brazil yielded -12,-56",2,3,"2011-07-24 20:05:09"
"Mau Norak",NULL,SL,"00° 36' 00" S; 036° 00' 00" E",-0.6,36,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames:  Mau Norak PPL; matches info in Kuntz and Myers 1967a",2,2,"2011-07-24 20:05:32"
"Mayotte (Maore)",NULL,O,NULL,-12.8252,45.1578,France,,,,NULL,IndianOcean,,NULL,NULL,NULL,"Main island Mayotte also known as "Maore"; Geonames: Mayotte",1,3,"2020-01-14 21:15:20"
"MB field site",NULL,SL,NULL,3.1,15.3,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-05 18:12:14"
Mbandaka,NULL,SL,"0° 1' 35.76'' N, 18° 17' 49.56'' E",0.0266,18.2971,"Democratic Republic of Congo",Équateur,,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-01-14 19:53:09"
Mbanza,NULL,SL,NULL,0.6987,14.7029,"Republic of the Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"CDC publication clarifies this is a village in Republic of Congo, giving the exact coordinates of where this gorilla was found. https://www.ncbi.nlm.nih.gov/pubmed/15752448",1,1,"2020-01-15 20:20:15"
Mbiru,NULL,SL,"00° 03' 00" N; 032° 35' 00" E",0.05,32.58,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Mengo District; Geonames: Mbiru Point PT, matches general values for other localities in this district",3,2,"2011-07-24 20:05:59"
Mchichira,NULL,SL,"10° 56' 00" S; 039° 36' 00" E",-10.93,39.6,Tanzania,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Mchichira;probably an old name;Mchicha yielded similar coordinates in Acmemapper and googlemaps but Mchichira could not be localized",2,2,"2011-07-24 20:06:05"
"ME field site",NULL,SL,NULL,3.2,16.1,"Central African Republic",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-05 18:12:02"
Medellin,NULL,SL,NULL,6.27,-75.6,Colombia,,,,NULL,NULL,,1500,NULL,NULL,Urban,1,2,"2020-01-14 21:15:40"
MEXICO,NULL,N,"23° 00' 00" N; 102° 00' 00" W",23,-102,Mexico,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames:  Mexico PCLI",2,4,"2011-07-24 20:06:34"
"MF field site",NULL,SL,NULL,6.3,19.1,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-14 20:08:05"
"MG field site",NULL,SL,NULL,4.8,13.2,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See figure 2",2,2,"2020-01-14 20:08:08"
Mgahinga,NULL,SL,"01° 23' 00" S; 029° 38' 00" E",-1.38,29.63,Uganda,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames:  Mgahinga FRST",2,2,"2011-07-24 20:06:51"
Mica,NULL,SL,"24° 09' 00" S; 030° 50' 00" E",-24.15,30.83,"South Africa",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"NE Transvaal; Geonames:  Mica PPL, most values cluster near to one another",2,2,"2011-07-24 20:07:02"
Mikumi,NULL,SL,"07° 15' 00" S; 037° 05' 00" E",-7.25,37.08,Tanzania,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames: Mikumi National Park",2,2,"2011-07-24 20:07:07"
"Minkouala village",NULL,SL,NULL,0.561467,12.5897,Gabon,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Google maps: Minkouala, Gabon",1,2,"2020-01-14 20:14:44"
Miranda,NULL,SL,"20 º30' S and 56º15' W",20.5,56.25,Brazil,"Mato Grosso do Sul",,,NULL,NULL,,NULL,NULL,NULL,"Captured outside of a hotel (Batista et al. 2013)",1,1,"2020-09-15 01:02:07"
Misahualli,NULL,SL,"1° 2'7.0" S, 77° 39'59.4" W",1.03528,77.6664,Ecuador,,,,Rainforest,SouthAmerica,,NULL,NULL,NULL,"Publication says it is 2 ha",1,1,"2020-01-14 20:17:34"
Mityana,NULL,SL,"00° 25' 03" N; 032° 01' 22" E",0.41,32.01,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Mengo District; Geonames: Mitiyana PPL",2,2,"2011-07-24 20:07:22"
Mkuzi,NULL,SL,"27° 39' S; 32° 09' E",-27.65,32.15,"South Africa",NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"game reserve; from primary ref",1,1,"2011-07-24 20:07:38"
"MM field site",NULL,SL,NULL,2.3,10.8,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-05 18:11:58"
Mole,NULL,SL,NULL,9.6,-1.7,Ghana,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Acmemapper2.0;mole,ghana",2,2,"2020-01-14 21:13:05"
"Monkey River",NULL,SL,NULL,16.35,-88.483,Belize,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,3,"2020-01-14 20:19:31"
"Montes Azules",NULL,O,NULL,16.8,-91.3,Mexico,Chiapas,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Acmemapper2.0;Montes Azules,chiapas,mexico",2,2,"2020-01-14 20:19:48"
Morondava,NULL,SL,"20° 17' 00" S; 044° 17' 00" E",-20.28,44.28,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Morondava PPL, used the one with primary ID as Morondava",2,2,"2011-07-24 20:08:36"
Mosiro,NULL,SL,"01° 29' 00" S; 036° 06' 00" E",-1.48,36.1,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Mosiro PPL, based also on Fig 1 Dracopoli et al. 1986",2,2,"2011-07-24 20:08:42"
Moukalaba-Doudou,NULL,SL,NULL,-2.498,10.349,Gabon,NULL,NULL,NULL,NULL,Africa,"Moukalaba-Doudou National Park ",NULL,NULL,NULL,"Boutsiana, Mt. Doudou",1,3,"2020-01-14 20:32:04"
"Mount Meru Game Reserve",NULL,SL,NULL,-3.25,36.75,Tanzania,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Mount Meru",2,3,"2020-01-13 20:53:33"
MOZAMBIQUE,NULL,N,"18° 15'00" S; 035° 00' 00" E",-18.25,35,Mozambique,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Mozambique, republic of",2,2,"2011-07-24 20:08:47"
"MP Field site",NULL,SL,NULL,5.4,12.8,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See figure 2",2,2,"2020-01-13 20:53:44"
Mpala,NULL,SL,"0° 20' 00" N; 036° 53' 00" E",0.33,36.88,Kenya,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"in Laikipia region of Kenya; Geonames: Mpala FRM (used Mpala Farm, which is very similar to coordinates for Laikipia District ADMD)",2,2,"2011-07-24 20:08:59"
Mpigi,NULL,SL,"00° 37' 00" N; 032° 42' 00" E",0.61,32.7,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""area," Mengo District; Geonames: Mpigi PPL",2,2,"2011-07-24 20:09:03"
"MT field site",NULL,SL,NULL,3.7,12.5,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-13 20:53:52"
"Mt. Assirik",NULL,SL,NULL,12.883,12.767,Senegal,"Niokolo-Koba National Park",NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,NULL,1,2,"2020-11-09 19:45:46"
"Mtito Andei",NULL,SL,"02° 41' 00" S; 038° 10' 00" E",-2.68,38.16,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Mtito Andei PPL",2,2,"2011-07-24 20:09:14"
"MU field site",NULL,SL,NULL,2.4,29.9,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-13 20:53:56"
Mukono,NULL,SL,"00° 16' 00" N; 032° 27' 00" E",0.26,32.45,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""area," Mengo District; Geonames: Mukono PPL multiple records, but all fairly tight",2,2,"2011-07-24 20:09:24"
Mukteswar,NULL,SL,"29° 29' 00" N; 079° 39' 00" E",29.48,79.65,India,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"near Himalayas; Geonames: Mukteswar PPL, only Muketswar in database and used to determine country (also matches spp info)",2,2,"2011-07-24 20:09:29"
"Mundo Novo municipality",NULL,P,NULL,-23.9378,-54.2708,Brazil,"Mato Grosso do Sul",,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-01-14 21:15:00"
Mwanza,NULL,SL,"02° 31'00" S; 032° 54' 00" E",-2.51,32.9,Tanzania,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Mwanza",2,2,"2011-07-24 20:09:34"
Mysore,NULL,P,"13° 30' 00" N; 076° 00' 00" E",13.5,76,India,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Mysore ADM1 (State)",2,2,"2011-07-24 20:09:41"
N'zida,NULL,P,NULL,5.24374,-5.00277,"Côte d'Ivoire",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The map on this publication lists the approximate location https://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_5/b_fdi_20-21/28792.pdf 
The river on this map no longer exists
Additionally, Google Maps has Grand-Lahou, which is the approximate location of N'dzida discussed in Hoogstraal and Theiler 1959. Listed originally as "N'dzida" but now known as "N'zida"",3,2,"2020-01-15 20:19:56"
Nairobi,NULL,SL,"01° 17' 00" S; 036° 49' 00" E",-1.28,36.81,Kenya,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"most refs "Nairobi City Park"; Geonames: Nairobi PPLC",2,2,"2011-07-24 20:09:47"
Naivasha,NULL,SL,"00° 43' 00" S; 036° 26' 00" E",-0.71,36.43,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Naivasha PPL, based also on Fig 1 Dracopoli et al.",2,2,"2011-07-24 20:09:54"
Nakauka,NULL,SL,"00° 11' 18" N; 032° 26' 23" E",0.18,32.43,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Mengo District; Geonames: Nakauka PPL",2,2,"2011-07-24 20:10:00"
"Nakorn Sawan",NULL,SL,"15° 41' 00" N; 100° 07' 00" E",15.68,100.11,Thailand,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames: Nakorn Sawan PPLA",2,2,"2011-07-24 20:10:18"
Namanga,NULL,SL,"02° 33' 00" S; 036° 47' 00" E",-2.55,36.78,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"Rift Valley Province; Geonames:  Namanga PPL",2,2,"2011-07-24 20:10:28"
Namib,NULL,P,"23° 00' 00" S; 015° 00' 00" E",-23,15,"South Africa",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"desert; Geonames: Namib Desert DSRT, covers three countries, used primary listing",2,3,"2011-07-24 20:10:58"
Nantou,NULL,P,"23° 50' 00" N; 121° 00' 00" E",23.83,121,Taiwan,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"map in reference; Geonames: Nantou",2,2,"2011-07-24 20:11:04"
Nanyuki,NULL,O,NULL,-0.07124,37.1459,Kenya,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Nanyuki Forest Station",1,3,"2020-01-14 20:37:00"
Napo,NULL,SL,"03° 28' 00" S; 072° 45' 00" W",-3.46,-72.75,Peru,NULL,NULL,NULL,NULL,SouthAmerica,1,0,0,NULL,"; Geonames:  Napo STM, matches (roughly) info on Province in source (Loreto)",2,2,"2011-07-24 20:11:12"
Narayanganj,NULL,P,NULL,23.6135,90.503,Bangladesh,NULL,NULL,Narayanganj,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Narayanganj",1,2,"2020-01-14 20:38:19"
Narok,NULL,SL,"01° 05' 00" S; 035° 52' 00" E",-1.08,35.86,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Narok PPL",2,2,"2011-07-24 20:11:17"
Natal,NULL,P,"29° 00' 00" S; 030° 00' 00" E",-29,30,"South Africa",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Natal ADM1, can't pinpoint closer than this",2,2,"2011-07-24 20:11:21"
"ND field site",NULL,SL,NULL,3.7,15.3,"Central African Republic",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-05 18:12:54"
NEPAL,NULL,N,NULL,28.39,84.12,Nepal,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,http://www.itouchmap.com/latlong.html,2,4,"2020-01-14 20:38:47"
Newala,NULL,P,NULL,-10.873,39.2667,Tanzania,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,"2020-01-13 20:13:36"
Ngogo,NULL,SL,NULL,0.45,30.425,Uganda,NULL,NULL,NULL,NULL,Africa,2,NULL,NULL,NULL,"from reference (Muehlenbein 2005)",1,1,"2011-07-24 20:11:34"
"Ngorongoro ",NULL,O,NULL,-3.2089,35.4628,Tanzania,NULL,NULL,NULL,NULL,NULL,"Ngorongoro Conservation Area",NULL,NULL,NULL,"Geonames: Ngorongoro Conservation Area",1,3,"2020-01-14 21:20:51"
Niamey,NULL,SL,"13° 40' 00" N; 001° 47' 00" E",13.66,1.78,Niger,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Naimey PPL",2,2,"2011-07-24 20:11:45"
Niapu,NULL,SL,"02° 25' 00" N; 026° 28' 00" E",2.41,26.46,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Niapu PPL",2,2,"2019-12-03 18:59:35"
NIGERIA,NULL,N,"10° 00' 00" N; 008° 00' 00" E",10,8,Nigeria,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Nigeria PCLI",2,4,"2011-07-24 20:12:10"
Nikko,NULL,P,NULL,36.7,139.7,Japan,Tochigi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Acmemapper2.0;Nikko,Tochigi,japan",2,2,"2020-01-17 20:11:39"
"Nikolo Koba",NULL,SL,"13° 04' 00" N; 012° 43' 00" W",13.06,-12.71,Senegal,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"aka Assirik; Geonames: Niokholo Koba",2,2,"2011-07-24 20:12:39"
"Nilgiri Hills",NULL,SL,"11° 25' 00" N; 076° 30' 00" E",11.41,76.5,India,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"; Geonames: Nilgiri Hill HLLS",2,2,"2011-07-24 20:12:51"
Njoro,NULL,P,NULL,-0.329,35.944,Kenya,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Njoro, Rift Valley, Kenya",2,2,"2020-01-13 20:09:26"
"NK field site",NULL,SL,NULL,2.1,14.7,Cameroon,NULL,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-13 20:08:04"
"Noel Kampff Mercado",NULL,SL,"13° 35.64' S; 60° 54.74' W",-13.6,-60.9,Bolivia,NULL,NULL,NULL,NULL,SouthAmerica,2,0,0,NULL,"; primary reference",1,1,"2011-07-24 20:13:00"
"North Huetar ",NULL,SL,NULL,10.6442,-84.4316,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,"2020-01-14 21:26:36"
"Northwest India",NULL,O,NULL,30.2556,74.957,India,,,,NULL,Eurasia,,NULL,NULL,NULL,"Debenheim et al. 2017",3,3,"2020-01-14 21:30:02"
"Nosy Be",NULL,SL,"13° 20' 00" S; 048° 15' 00" E",-13.33,48.25,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"aka Nossi Be; Geonames: Nosy Be ISL",2,2,"2011-07-24 20:13:06"
"Novo Horizonte",NULL,P,,-21.4681,-49.2208,Brazil,"Sao Paulo",,,NULL,NULL,,NULL,NULL,NULL,,1,2,"2020-05-29 22:18:29"
"NT field site",NULL,SL,NULL,5.4,11.4,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-13 20:05:13"
Nyeri,NULL,P,NULL,-0.42,36.95,Kenya,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,"2020-01-13 20:05:54"
Nyungwe,NULL,SL,NULL,-2.5,29.3,Rwanda,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemappper2.0;Nyungwe,Rwanda",2,2,"2020-01-14 21:30:18"
"Obiatuku forest",NULL,SL,NULL,-0.13836,25.5761,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Obiatuku",2,2,"2020-01-24 20:15:38"
Odzala-Kokoua,NULL,SL,NULL,0.906,15.176,Congo,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Coordinates taken from reference",1,1,"2020-01-14 21:13:12"
Ogooue-Ivindo,NULL,P,"00° 30' 00" N; 013° 00' 00" E",0.5,13,Gabon,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"near village, animal butchered; Geonames: Ogooue-Ivindo ADM1; also looked for name of town and health district but nothing certain; health district coordinates matched closely the province",2,2,"2011-07-24 20:13:41"
Oicha,NULL,SL,"00° 42' 00" N; 029° 31' 00" E",0.7,29.51,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"aka Hoysha, Oysha, Hosha; Geonames: Oicha MSSN;Acmemapper2.0;oysha",2,2,"2019-12-03 18:59:39"
Oka,NULL,SL,NULL,-3.6675,15.3819,"Republic of the Congo",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Geonames: Oka, Republic of the Congo",1,2,"2020-01-15 20:13:37"
Okavango,NULL,SL,"19° 30' 00" S; 023° 00' 00" E",-19.5,23,Botswana,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames:  Okavango Swamps MRSH",2,2,"2011-07-24 20:14:15"
Omo,NULL,SL,"06° 00' 00" N; 035° 50' 00" E",6,35.83,Ethiopia,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames:  Omo National Park PRK",2,2,"2011-07-24 20:14:27"
"ON field site",NULL,SL,NULL,1.8,28.3,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-15 20:14:00"
Onderstepoort,NULL,P,NULL,-25.6,28.1,"South Africa",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,";Acmemapper;onderstepoort,pretoria",2,2,"2020-01-15 20:14:08"
"OP field site",NULL,SL,NULL,0.2,29.1,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-05 18:13:16"
"Orange Walk",NULL,P,NULL,17.7667,-88.8,Belize,,"Orange Walk",,NULL,NULL,,NULL,NULL,NULL,,2,3,"2020-01-15 20:16:27"
"Osa Conservation Area",NULL,O,NULL,8.5672,-83.5161,"Costa Rica",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Large area; Geonames: Osa Peninsula",2,3,"2020-01-15 20:18:38"
"PA field site",NULL,SL,NULL,-0.7,26.7,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2020-01-15 20:18:43"
Pahang,NULL,P,"03° 30' 00" N; 102° 45' 00" E",3.5,102.75,Malaysia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Pahang State ADM1",2,3,"2011-07-24 20:15:08"
Palenque,NULL,P,NULL,17.5,-91.98,Mexico,Chiapas,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,";Acmemapper 2.0;Palenque,mexico",2,2,"2020-01-17 20:12:34"
PANAMA,NULL,N,"09° 00' 00" N; 080° 00' 00" W",9,-80,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames:  Panama PCLI",2,3,"2011-07-24 20:16:27"
"Panama Canal Zone",NULL,SL,"09° 10' 00" N; 079° 51' 00" W",9.16,-79.85,Panama,NULL,NULL,NULL,NULL,NorthAmerica,1,0,0,NULL,"should obtain primary ref; Geonames:  Canal Zone Biological Area USGE",2,2,"2011-07-24 20:16:40"
"Panama City",NULL,SL,"08° 58' 00" N; 079° 32' 00" W",8.96,-79.53,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames:  Panama City PPL",2,2,"2011-07-24 20:16:51"
"Panama Province",NULL,P,"09° 11' 00" N; 079° 15' 00" W",9.18,-79.25,Panama,NULL,NULL,NULL,NULL,NorthAmerica,0,0,0,NULL,"; Geonames: Panama Province ADM1",2,3,"2011-07-24 20:17:01"
Pantanal,NULL,O,NULL,-20.5386,56.715,Brazil,"Mato Grosso do Sul",Bodoquena,,NULL,NULL,,NULL,NULL,NULL,,1,3,"2020-01-17 20:14:12"
"Pantanos Centla",NULL,SL,NULL,18.1111,-92.5078,Mexico,Tabasco,NULL,NULL,NULL,NULL,"Reserva de la Biósfera Pantanos de Centla ",NULL,NULL,NULL,NULL,1,3,"2019-12-11 19:02:07"
Pará,NULL,P,"04° 00' 00" S; 053° 00' 00" W",-4,-53,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames:  Para ADM1",2,3,"2020-01-21 18:09:52"
Paracatu,NULL,SL,"17° 13' 00" S; 046° 52' 00" W",-17.21,-46.86,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Minas Gerais, Brazil; Geonames: Paracatu PPL, matches state ID in paper",2,2,"2011-07-24 20:17:18"
PARAGUAY,NULL,N,"22° 59' 36" S; 057° 59' 47" W",-22.99,-57.99,Paraguay,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames:  Paraguay PCLI",2,3,"2011-07-24 20:17:56"
Paraíba,NULL,O,NULL,-7.001,-34.924,Brazil,Paraíba,,"Santa Rita",NULL,NULL,"Reserva Particular do Patrimônio Natural Engenho Gargaú",NULL,NULL,NULL,,1,3,"2020-01-17 20:15:07"
Paramaribo,NULL,SL,"05° 50' 00" N; 55° 10' 00" W",5.83,-55.16,Surinam,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Paramaribo PPLC",2,2,"2012-06-14 21:46:22"
Parana,NULL,P,"24° 00' 00" S; 051° 00' 00" W",-24,-51,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"; Geonames: Parana ADMD",2,2,"2011-07-24 20:19:23"
"Parc Natl Volcans",NULL,SL,"1° 30' S; 29° 30' E",-1.5,29.5,Rwanda,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Acmemapper2.0;pac natl volcans",2,2,"2011-07-25 19:18:35"
